competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,cleaned_name_used,created_at,eta_date
DVFlora,21343,Mini Carnation Pink-Hot,Carnations-Mini,Bu,Pink Hot,,1,4.09,4.09,30,Colombia,Mini Carnation Pink-Hot,2025-06-01,2025-06-10
DVFlora,20085,Alstro Burg Velvet Qn,Alstroemeria,Bu,Burgundy,,1,7.79,7.79,4,Colombia,Alstro Burg Velvet Qn,2025-06-01,2025-06-10
DVFlora,29693,Aster Matsumoto Pink Light 10s,Aster-Focal,Bu,Pink Light,,1,,,,Colombia,Aster Matsumoto Pink Light 10s,2025-06-01,2025-06-10
DVFlora,21347,Mini Carnation Orange,Carnations-Mini,Bu,Orange,,1,4.29,4.29,30,Colombia,Mini Carnation Orange,2025-06-01,2025-06-10
DVFlora,29697,Aster Matsumoto White,Aster-Focal,Bu,White,,10,,,,Colombia,Aster Matsumoto White,2025-06-01,2025-06-10
DVFlora,54883,Alstro Purple Cote D'Azur Prem,Alstroemeria,Bu,Purple,,1,6.19,6.19,5,Colombia,Alstro Purple Cote D'Azur Prem,2025-06-01,2025-06-10
DVFlora,59585,Alstro Purple Maracana Prem,Alstroemeria,Bu,Purple,,1,6.99,6.99,5,Colombia,Alstro Purple Maracana Prem,2025-06-01,2025-06-10
DVFlora,50972,Alstro Purple Maracana Select,Alstroemeria,Bu,Purple,,1,5.69,5.69,5,Colombia,Alstro Purple Maracana Select,2025-06-01,2025-06-10
DVFlora,50858,Alstro Purple Ecuador,Alstroemeria,Bu,Purple,70,70,6.99,6.99,18,Ecuador,Alstro Purple Ecuador,2025-06-01,2025-06-10
DVFlora,58006,Alstro Purple Napoli,Alstroemeria,Bu,Purple,,1,7.79,7.79,4,Colombia,Alstro Purple Napoli,2025-06-01,2025-06-10
DVFlora,49684,Alstro Purple Xanadu,Alstroemeria,Bu,Purple,,1,7.79,7.79,4,Colombia,Alstro Purple Xanadu,2025-06-01,2025-06-10
DVFlora,17321,Bq Backyard Jungle,Bouquets,Bu,Assorted,,10,7.39,7.39,11,Miami,Bq Backyard Jungle,2025-06-01,2025-06-10
DVFlora,50626,Mini Carnation Masquerade,Carnations-Mini,Bu,Peach,,1,4.69,4.69,18,Miami,Mini Carnation Masquerade,2025-06-01,2025-06-10
DVFlora,21348,Mini Carnation Peach,Carnations-Mini,Bu,Peach,,1,4.59,4.59,30,Colombia,Mini Carnation Peach,2025-06-01,2025-06-10
DVFlora,25862,Bells of Ireland 6pack Califor,Bells of Ireland,Bu,Green,,1,8.99,8.99,6,California,Bells of Ireland 6pack Califor,2025-06-01,2025-06-10
DVFlora,21484,Bells of Ireland,Bells of Ireland,Bu,Green,70,1,,,,Ecuador,Bells of Ireland,2025-06-01,2025-06-10
DVFlora,21485,Bells of Ireland Cal,Bells of Ireland,Bu,Green,70,70,,,,California,Bells of Ireland Cal,2025-06-01,2025-06-10
DVFlora,32232,Bells of Ireland,Bells of Ireland,Bu,Green,90,1,,,,Ecuador,Bells of Ireland,2025-06-01,2025-06-10
DVFlora,21351,Mini Carnation Red,Carnations-Mini,Bu,Red,,1,,,,Colombia,Mini Carnation Red,2025-06-01,2025-06-10
DVFlora,59271,Mini Carnation Red,Carnations-Mini,Bu,Red,,1,4.59,4.59,8,Colombia,Mini Carnation Red,2025-06-01,2025-06-10
DVFlora,29694,Aster Matsumoto Purple,Aster-Focal,Bu,Purple,,10,,,,Colombia,Aster Matsumoto Purple,2025-06-01,2025-06-10
