competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,product_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Dvflora,49937,Rose Pk Hermosa 60cm cs100,Roses-Standard,Stem,Pink,60,1,1.55,1.55,100,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Pink Hermosa Roses,b38833fc-ce8d-491b-8706-d06b7b06ed45,0.9668314456939697,hermosa pink rose,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,24053,Rose Pk Hermosa 60cm Cs50,Roses-Standard,Stem,Pink,60,1,1.55,1.55,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Pink Hermosa Roses,b38833fc-ce8d-491b-8706-d06b7b06ed45,0.9668314456939697,hermosa pink rose,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,44993,Rose Pk Hermosa 70/80cm,Roses-Standard,Stem,Pink,70,70,1.75,1.75,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Pink Hermosa Roses,b38833fc-ce8d-491b-8706-d06b7b06ed45,0.9668314456939697,hermosa pink rose,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,60935,Pom Pon Lav. Daisy 12pk,Pom Pons,Bu,Lavender,,1,3.79,3.79,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Purple Lavender Tessa  Statice,8681088b-86d0-4aeb-8117-fe57c064e52c,0.9422468543052673,daisy lavender pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,62875,Pom Pon Lav. Daisy Atlantis 6p,Pom Pons,Bu,Lavender,,1,3.89,3.89,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,atlantis daisy lavender pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,23333,Pom Pon Lav. Daisy Melrose 12p,Pom Pons,Bu,Lavender,,1,4.79,4.79,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Purple Lavender Tessa  Statice,8681088b-86d0-4aeb-8117-fe57c064e52c,0.9430820941925049,daisy lavender melrose pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,23229,Pom Pon Lavender Daisy,Pom Pons,Bu,Lavender,,1,4.69,4.69,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Purple Lavender Tessa  Statice,8681088b-86d0-4aeb-8117-fe57c064e52c,0.9422468543052673,daisy lavender pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,23174,Pom Pon Asst Daisy 12pk,Pom Pons,Bu,Assorted,,1,4.39,4.39,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Mixed Micro Pomps Assorted Chrysanthemum Micro Pom,1d461d9d-5663-4525-a0fd-ccb10ab85fc8,0.9216903448104858,assorted daisy pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,48286,Pom Pon Asst Daisy 12pk,Pom Pons,Bu,Assorted,,1,4.19,4.19,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Mixed Micro Pomps Assorted Chrysanthemum Micro Pom,1d461d9d-5663-4525-a0fd-ccb10ab85fc8,0.9216903448104858,assorted daisy pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,60659,Pom Pon Asst Daisy 12pk,Pom Pons,Bu,Assorted,,1,4.99,4.99,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Mixed Micro Pomps Assorted Chrysanthemum Micro Pom,1d461d9d-5663-4525-a0fd-ccb10ab85fc8,0.9216903448104858,assorted daisy pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,62052,Pom Pon Asst Daisy 12pk,Pom Pons,Bu,Assorted,,1,3.79,3.79,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Mixed Micro Pomps Assorted Chrysanthemum Micro Pom,1d461d9d-5663-4525-a0fd-ccb10ab85fc8,0.9216903448104858,assorted daisy pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,54113,Pom Pon Asst Daisy 14p,Pom Pons,Bu,Assorted,,1,4.19,4.19,14,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Mixed Micro Pomps Assorted Chrysanthemum Micro Pom,1d461d9d-5663-4525-a0fd-ccb10ab85fc8,0.9216903448104858,assorted daisy pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,23264,Pom Pon Asst Daisy 15pk,Pom Pons,Bu,Assorted,,1,4.19,4.19,15,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Mixed Micro Pomps Assorted Chrysanthemum Micro Pom,1d461d9d-5663-4525-a0fd-ccb10ab85fc8,0.9216903448104858,assorted daisy pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,60660,Pom Pon Asst Daisy 16pk,Pom Pons,Bu,Assorted,,1,3.29,3.29,16,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Mixed Micro Pomps Assorted Chrysanthemum Micro Pom,1d461d9d-5663-4525-a0fd-ccb10ab85fc8,0.9216903448104858,assorted daisy pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,42353,Pom Pon Orange Reagan Daisy,Pom Pons,Bu,Orange,,1,,,,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,daisy orange pom pon reagan,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,23268,Pom Pon Lav. Daisy Reagan 5pk,Pom Pons,Bu,Lavender,,1,3.99,3.99,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Purple Lavender Tessa  Statice,8681088b-86d0-4aeb-8117-fe57c064e52c,0.9182782173156738,daisy lavender pom pon reagan,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
