competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Flowermarketplace,2197826,GARDEN R. WHITE COTTON X PRESSION,garden r.,Stems,60,1,1.82,Peach X Pression Garden Roses,e3bec056-8172-4fb9-8092-977a154686b2,0.9399870038032532,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9588974118232727,2025-05-09,2025-05-10
Flowermarketplace,1968671,GARDEN ROSE BRIDESMAID,"Roses, Garden Rose",Stems,,1,3.1,Bridesmaid Garden Roses,44497b08-bf73-4d89-ac7e-2240d3523cb6,0.999616265296936,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9966112971305847,2025-05-09,2025-05-10
Flowermarketplace,2212911,GERBERA RED,Gerberas,Bunch,,1,1.9,Dark Pink Gerbera Large Flowered,8b5d2164-f3b8-4708-a85e-dfc8160bf291,0.9501420259475708,Gerbera Large Flowered,c0a57b7b-3d0a-4688-91f4-a3eda4a26048,0.9533370733261108,2025-05-09,2025-05-10
Flowermarketplace,2211491,Gerbera Red,Gerbera,Stems,50,1,1.7,Dark Pink Gerbera Large Flowered,8b5d2164-f3b8-4708-a85e-dfc8160bf291,0.9501420259475708,Gerbera Large Flowered,c0a57b7b-3d0a-4688-91f4-a3eda4a26048,0.9533370733261108,2025-05-09,2025-05-10
Flowermarketplace,1858095,Gerbera Yellow,Gerbera,Stems,50,1,1.7,Dark Pink Gerbera Large Flowered,8b5d2164-f3b8-4708-a85e-dfc8160bf291,0.9501420259475708,Gerbera Large Flowered,c0a57b7b-3d0a-4688-91f4-a3eda4a26048,0.9533370733261108,2025-05-09,2025-05-10
Flowermarketplace,2271338,Gladiolus SPX Red &amp; White,Gladiolus SPX,Stems,100,1,2.35,,,,Gladiolus Small Flowered,a55ded07-3273-4c80-99e5-67238b1e5b69,0.8887580633163452,2025-05-09,2025-05-10
Flowermarketplace,2211741,Gladiolus SPX White,Gladiolus SPX,Stems,100,1,2.35,,,,Gladiolus Small Flowered,a55ded07-3273-4c80-99e5-67238b1e5b69,0.8887580633163452,2025-05-09,2025-05-10
Flowermarketplace,2258765,Gladiolus White/HMP,Gladiolus,Bunch,100,1,21.11,White Gladiolus Large Flowered,97cd7e02-178a-4040-9605-18c63403c2c5,0.920494794845581,Gladiolus Small Flowered,a55ded07-3273-4c80-99e5-67238b1e5b69,0.9758262634277344,2025-05-09,2025-05-10
Flowermarketplace,2170965,Gladiolus White 15BU/BX,Gladiolus,Bunch,100,1,31.0,Hot pink Gladiolus Large Flowered,a54f638f-86b2-4798-9e43-3542f1472c08,0.9149821996688843,Gladiolus Small Flowered,a55ded07-3273-4c80-99e5-67238b1e5b69,0.9758262634277344,2025-05-09,2025-05-10
Flowermarketplace,1906961,GOTCHA,Roses,Stems,70,1,2.5,,,,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9801033735275269,2025-05-09,2025-05-10
Flowermarketplace,2220820,Green Huck GREEN 20 BU/BX,Green Huck,Bunch,60,1,10.0,,,,Huck,c53dc561-0690-4551-82aa-09466a5f5ed5,1.0,2025-05-09,2025-05-10
Flowermarketplace,2236731,GREEN ROBELLINI PALM,greens,Bunch,60,1,5.95,Robellini Palm,524cac8e-9f12-40c9-bfa9-76035367135a,0.992650032043457,,,,2025-05-09,2025-05-10
Flowermarketplace,2229760,GREEN ROBELLINI PALM,greens,Bunch,70,1,6.07,Robellini Palm,524cac8e-9f12-40c9-bfa9-76035367135a,0.992650032043457,,,,2025-05-09,2025-05-10
Flowermarketplace,2270462,Greens Brillantina,greens,Bunch,60,10,7.9,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,2194371,Greens Eucalyptus Gunni,greens,Bunch,,10,14.35,Gunni Eucalyptus,04daffb5-a8f5-40e3-9b78-31209df08341,0.9123868942260742,,,,2025-05-09,2025-05-10
Flowermarketplace,1860454,Greens Eucalyptus Seeded CUPPED Handful,"Greens, Eucalyptus",Bunch,,1,15.8,Seeded Cupped Eucalyptus,c7a3cc67-aedb-43bf-a07f-2222609e4dec,0.9353712201118469,Eucalyptus,12932620-8484-4dba-bd71-205ed8e5da22,0.8699182271957397,2025-05-09,2025-05-10
Flowermarketplace,1858917,Greens Israeli RUSCUS,"Greens, greens",Bunch,55,1,5.7,Green Antike Roses,4c4e1ed4-3eec-4728-9257-a515605e7065,0.9019132852554321,,,,2025-05-09,2025-05-10
Flowermarketplace,1858099,Greens Leather Leaf,"Greens, greens",Bunch,,1,8.58,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,1858105,Greens Monstera Leaves Medium,"Greens, Monstera",Stems,,1,3.38,Green Leaf Large  Monstera,8a11d5e8-71a0-42bd-ac34-19e3c73fff8d,0.9554277658462524,,,,2025-05-09,2025-05-10
Flowermarketplace,1859266,Greens Palm Roebelenii Pheonix,Greens,Stems,,1,0.68,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,1858111,Greens Ti Leaves Assorted,Greens,Stems,,1,0.68,Green Tie Ti Leaves,8d4d4465-d918-4275-aa9d-4a676bdd5bca,0.9414545297622681,,,,2025-05-09,2025-05-10
Flowermarketplace,2145318,Greens Ti Leaves Burgundy,Greens,Stems,,1,0.68,Green Tie Ti Leaves,8d4d4465-d918-4275-aa9d-4a676bdd5bca,0.9414545297622681,,,,2025-05-09,2025-05-10
Flowermarketplace,2138227,Gunni Euc Green 10BU/BX,"Gunni Euc, Eucalyptus",Bunch,7580,1,15.44,,,,Eucalyptus,12932620-8484-4dba-bd71-205ed8e5da22,0.8206672668457031,2025-05-09,2025-05-10
Flowermarketplace,2227770,Gunni Euc Green 20BU/BX,Gunni Euc,Bunch,,1,15.0,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,2271339,Gyp Bridal Queen 250 grams,GYPSO,Bunch,,1,14.2,,,,Gypsophilia (Babys breath),0c9f14f5-d919-4590-bbb6-f8f0f14a30e2,0.9101133942604065,2025-05-09,2025-05-10
Flowermarketplace,2271446,Gyp Cosmic 250 grams,GYPSO,Bunch,,1,13.45,,,,Gypsophilia (Babys breath),0c9f14f5-d919-4590-bbb6-f8f0f14a30e2,0.9101133942604065,2025-05-09,2025-05-10
Flowermarketplace,2271450,Gyp Cosmic 250 grams,GYPSO,Bunch,,1,13.45,,,,Gypsophilia (Babys breath),0c9f14f5-d919-4590-bbb6-f8f0f14a30e2,0.9101133942604065,2025-05-09,2025-05-10
Flowermarketplace,2131646,Gyp Million Star 250 grams,"GYPSO, Gypsophila",Bunch,,1,13.7,,,,Gypsophilia (Babys breath),0c9f14f5-d919-4590-bbb6-f8f0f14a30e2,0.9409558176994324,2025-05-09,2025-05-10
Flowermarketplace,2161731,Gyp Tinted Rainbow,GYPSO,Bunch,,10,15.48,,,,Gypsophilia (Babys breath),0c9f14f5-d919-4590-bbb6-f8f0f14a30e2,0.9101133942604065,2025-05-09,2025-05-10
Flowermarketplace,2212863,GYPSO TINTED RAINBOW,Flowers,Bunch,,1,16.95,Gypsi Curiosa Roses,14b56e2c-1ed6-4d9a-8fd1-496d5c913915,0.972091555595398,,,,2025-05-09,2025-05-10
Flowermarketplace,326394,GYPSOPHILA MILLION STAR,Gypsophila,Bunch,,1,9.56,Gypsophila Light Pink Dried and Preserved Flowers,be6f807a-d68b-4cac-8494-958b78167583,0.9889692068099976,Gypsophilia (Babys breath),0c9f14f5-d919-4590-bbb6-f8f0f14a30e2,0.9381563663482666,2025-05-09,2025-05-10
Flowermarketplace,9430,GYPSOPHILA XLENCE,Gypsophila,Bunch,,1,9.35,Gypsophila Light Pink Dried and Preserved Flowers,be6f807a-d68b-4cac-8494-958b78167583,0.9887413382530212,Gypsophilia (Babys breath),0c9f14f5-d919-4590-bbb6-f8f0f14a30e2,0.9381563663482666,2025-05-09,2025-05-10
