competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,stem_price,created_at,eta_date
FlowerMarketplace,2161245,CALLAS ASSORTED,Calla Lily,Stems,,1,1.85,2025-06-02,2025-06-10
FlowerMarketplace,2160642,CALLAS BLACK FOREST,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160644,CALLAS BOUTONNIERE,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160646,CALLAS BRIDESMAID BOUQUETS,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160648,CALLAS CALLA LEAVES,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160650,CALLAS CASCADE BOUQUET OPEN CUT,Calla Lily,Bunch,,1,2.34,2025-06-02,2025-06-10
FlowerMarketplace,2160652,CALLAS CRANBERRY,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160654,CALLAS CRYSTAL BLUSH,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160656,CALLAS CRYSTAL PINK,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160658,CALLAS CRYSTAL WHITE,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160660,CALLAS DARK CAPTAIN ROMANCE,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160662,CALLAS DARK SCHWARZWALDER,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160664,CALLAS DENVER,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160666,CALLAS FANTASIA,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160668,CALLAS FLAME,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160670,CALLAS FLOREX GOLD,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160672,CALLAS GRAN PARADISO,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160674,CALLAS HAWAIIAN PAPAYA,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160676,CALLAS OPEN CCUT,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160678,CALLAS PACO,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160680,CALLAS PERLE ROSE,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160682,CALLAS PICASSO,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
