competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,state,color,stem_length,stems_per_unit,unit_price,stem_price,base_price,freight_price,margin,available_units,grower_name,grower_country,highlight_name,cleaned_name_used,product_group_key,created_at,eta_date
Mayesh,513375,Anemone Black Center White,Anemone,495,Kentucky,White,,120,244.8,2.04,1.12,0.25,37.5,2,Agricola El Chaupi,Ecuador,,Anemone Black Center White,495,2025-06-02,2025-06-10
Mayesh,513375,Anemone Black Center White,Anemone,495,Kentucky,White,,140,224.0,1.6,0.9,0.16,37.5,3,Chilfresh,Chile,Special,Anemone Black Center White,495,2025-06-02,2025-06-10
Mayesh,513367,Anemone Blue,Anemone,495,Kentucky,Blue,,120,223.2,1.86,1.01,0.25,37.5,9,,Ecuador,,Anemone Blue,495,2025-06-02,2025-06-10
Mayesh,513366,Anemone Blush,Anemone,495,Kentucky,Blush,,120,223.2,1.86,1.01,0.25,37.5,10,,Ecuador,,Anemone Blush,495,2025-06-02,2025-06-10
Mayesh,12983878,Anemone Levante Blue,Anemone,495,Kentucky,Blue,,120,217.2,1.81,1.03,0.16,37.5,10,Rosaprima,Ecuador,,Anemone Levante Blue,495,2025-06-02,2025-06-10
Mayesh,12983873,Anemone Levante Fuchsia,Anemone,495,Kentucky,Fuchsia,,120,217.2,1.81,1.03,0.16,37.5,10,Rosaprima,Ecuador,,Anemone Levante Fuchsia,495,2025-06-02,2025-06-10
Mayesh,12983877,Anemone Levante Pink,Anemone,495,Kentucky,Pink,,120,217.2,1.81,1.03,0.16,37.5,9,Rosaprima,Ecuador,,Anemone Levante Pink,495,2025-06-02,2025-06-10
Mayesh,12983905,Anemone Levante Red,Anemone,495,Kentucky,Red,,120,217.2,1.81,1.03,0.16,37.5,10,Rosaprima,Ecuador,,Anemone Levante Red,495,2025-06-02,2025-06-10
Mayesh,12983858,Anemone Levante White,Anemone,495,Kentucky,White,,120,217.2,1.81,1.03,0.16,37.5,6,Rosaprima,Ecuador,,Anemone Levante White,495,2025-06-02,2025-06-10
Mayesh,3912336,Anemone Mistral Bordeaux Burgundy,Anemone Mistral,496,Kentucky,Burgundy,,120,244.8,2.04,1.12,0.25,37.5,3,,Ecuador,,Anemone Mistral Bordeaux Burgundy,496,2025-06-02,2025-06-10
Mayesh,3111261,Anemone Mistral Grape Purple,Anemone Mistral,496,Kentucky,Purple,,120,244.8,2.04,1.12,0.25,37.5,3,,Ecuador,,Anemone Mistral Grape Purple,496,2025-06-02,2025-06-10
Mayesh,513373,Anemone Red,Anemone,495,Kentucky,Red,,120,267.6,2.23,1.24,0.25,37.5,2,,Ecuador,,Anemone Red,495,2025-06-02,2025-06-10
Mayesh,514524,Aralia Leaves Green,Aralia,499,Kentucky,Green,,50,70.5,1.41,0.44,0.7,37.5,47,Natural Farms,Colombia,,Aralia Leaves Green,499,2025-06-02,2025-06-10
Mayesh,514550,Aspidistra Green,Aspidistra,505,Kentucky,Green,,15,97.05,6.47,2.22,2.91,37.5,9,Underhill Ferneries,United States,,Aspidistra Green,505,2025-06-02,2025-06-10
Mayesh,514550,Aspidistra Green,Aspidistra,505,Kentucky,Green,,25,125.0,5.0,2.03,1.75,37.5,25,Underhill Ferneries,United States,,Aspidistra Green,505,2025-06-02,2025-06-10
Mayesh,514551,Aspidistra Variegated,Aspidistra,505,Kentucky,Variegated,,15,154.35,10.29,4.61,2.91,37.5,4,Underhill Ferneries,United States,,Aspidistra Variegated,505,2025-06-02,2025-06-10
Mayesh,514551,Aspidistra Variegated,Aspidistra,505,Kentucky,Variegated,,25,221.75,8.87,4.45,1.75,37.5,4,Underhill Ferneries,United States,,Aspidistra Variegated,505,2025-06-02,2025-06-10
