competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,price_per_stem,base_price,freight_price,margin,available_units,grower_name,grower_country,product_url,image_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Mayesh,487749,Rose Tiffany Peach,Rose,900,Peach,50,100,143.0,1.43,0.58,0.51,37.5,8,,Ecuador,https://www.mayesh.com/rose-tiffany-peach-50-cm,https://www.mayesh.com/backend/files/flowers/rose-tiffany-peach.jpg,Tiffany Roses peach,78867b37-5d94-48a9-a694-1889b1b8cf1f,0.9754667282104492,peach rose tiffany,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.202398,2025-05-23
Mayesh,487750,Rose Tiffany Peach,Rose,900,Peach,60,100,163.0,1.63,0.7,0.51,37.5,10,,Ecuador,https://www.mayesh.com/rose-tiffany-peach-60-cm,https://www.mayesh.com/backend/files/flowers/rose-tiffany-peach.jpg,Tiffany Roses peach,78867b37-5d94-48a9-a694-1889b1b8cf1f,0.9754667282104492,peach rose tiffany,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.255548,2025-05-23
Mayesh,8700194,Rose Tina Hot Pink,Rose,900,Hot Pink,40,100,134.0,1.34,0.52,0.51,37.5,1,,Ecuador,https://www.mayesh.com/rose-tina-hot-pink-40-cm,https://www.mayesh.com/backend/files/flowers/rose_tina.jpg,,,,hot pink rose tina,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.310633,2025-05-23
Mayesh,8700195,Rose Tina Hot Pink,Rose,900,Hot Pink,50,100,143.0,1.43,0.58,0.51,37.5,2,,Ecuador,https://www.mayesh.com/rose-tina-hot-pink-50-cm,https://www.mayesh.com/backend/files/flowers/rose_tina.jpg,,,,hot pink rose tina,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.365802,2025-05-23
Mayesh,8700196,Rose Tina Hot Pink,Rose,900,Hot Pink,60,100,163.0,1.63,0.7,0.51,37.5,1,,Ecuador,https://www.mayesh.com/rose-tina-hot-pink-60-cm,https://www.mayesh.com/backend/files/flowers/rose_tina.jpg,,,,hot pink rose tina,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.429117,2025-05-23
Mayesh,487764,Rose Titanic Light Pink,Rose,900,Light Pink,50,100,143.0,1.43,0.58,0.51,37.5,5,,Ecuador,https://www.mayesh.com/rose-titanic-light-pink-50-cm,https://www.mayesh.com/backend/files/flowers/rose-titanic-light-pink.jpg,Titanic Roses pink - light,02c7c0f7-2cba-4ac1-a836-f819cc23d1cf,0.9724740982055664,light pink rose titanic,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.496357,2025-05-23
Mayesh,487765,Rose Titanic Light Pink,Rose,900,Light Pink,60,100,163.0,1.63,0.7,0.51,37.5,5,,Ecuador,https://www.mayesh.com/rose-titanic-light-pink-60-cm,https://www.mayesh.com/backend/files/flowers/rose-titanic-light-pink.jpg,Titanic Roses pink - light,02c7c0f7-2cba-4ac1-a836-f819cc23d1cf,0.9724740982055664,light pink rose titanic,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.559286,2025-05-23
Mayesh,487766,Rose Titanic Light Pink,Rose,900,Light Pink,70,100,172.0,1.72,0.76,0.51,37.5,5,,Ecuador,https://www.mayesh.com/rose-titanic-light-pink-70-cm,https://www.mayesh.com/backend/files/flowers/rose-titanic-light-pink.jpg,Titanic Roses pink - light,02c7c0f7-2cba-4ac1-a836-f819cc23d1cf,0.9724740982055664,light pink rose titanic,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.622067,2025-05-23
Mayesh,966390,Rose Toffee Novelty,Rose,900,Novelty,60,100,284.0,2.84,1.46,0.51,37.5,9,,Ecuador,https://www.mayesh.com/rose-toffee-novelty-60-cm,https://www.mayesh.com/backend/files/flowers/rose-toffee-novelty.jpg,Toffee Roses bronze,023b9270-dbf2-42e5-bf03-d3d0b2d95d6a,0.957607626914978,novelty rose toffee,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.679139,2025-05-23
Mayesh,966391,Rose Toffee Novelty,Rose,900,Novelty,70,100,302.0,3.02,1.57,0.51,37.5,10,,Ecuador,https://www.mayesh.com/rose-toffee-novelty-70-cm,https://www.mayesh.com/backend/files/flowers/rose-toffee-novelty.jpg,Toffee Roses bronze,023b9270-dbf2-42e5-bf03-d3d0b2d95d6a,0.957607626914978,novelty rose toffee,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.739562,2025-05-23
