product_name,competitor_product_group_name,competitor_product_id
Hydrangea White Large,Hydrangea,485118
Hydrangea White Large,Hydrangea,485118
Hydrangea White Medium,Hydrangea,485119
Hydrangea White Medium,Hydrangea,485119
Hydrangea White Medium,Hydrangea,485119
Hydrangea White Small,Hydrangea,485120
Hypericum Assorted,Hypericum,485236
Hypericum Assorted,Hypericum,485237
Hypericum Assorted,Hypericum,485238
Hypericum Burgundy,Hypericum,485246
Hypericum Burgundy,Hypericum,485247
Hypericum Burgundy,Hypericum,485248
Hypericum Coco Bamboo Green,Hypericum,490142
Hypericum Coco Casino Pink,Hypericum,485289
Hypericum Coco Rio Red,Hypericum,988195
Hypericum Coco Rio Red,Hypericum,988197
Hypericum Coco Uno White,Hypericum,988199
Hypericum Coco Uno White,Hypericum,988203
Hypericum Cool Romance White,Hypericum,485297
Hypericum Cool Romance White,Hypericum,485298
Hypericum Cool Romance White,Hypericum,485299
Hypericum Green,Hypericum,485251
Hypericum Green,Hypericum,485251
Hypericum Green,Hypericum,485252
Hypericum Jungle Romance Green,Hypericum,485315
Hypericum Jungle Romance Green,Hypericum,485316
Hypericum Jungle Romance Green,Hypericum,485317
Hypericum Lovely Romance Pink,Hypericum,3330074
Hypericum Lovely Romance Pink,Hypericum,3330076
Hypericum Lovely Romance Pink,Hypericum,3330077
Hypericum Lucky Romance Green,Hypericum,608446
Hypericum Lucky Romance Green,Hypericum,608447
Hypericum Lucky Romance Green,Hypericum,608448
Hypericum Magical Triumph II Red,Hypericum,1032796
Hypericum Magical Triumph II Red,Hypericum,1032797
Hypericum Magical Triumph II Red,Hypericum,1032798
Hypericum Magical Victory Green,Hypericum,485339
Hypericum Magical Victory Green,Hypericum,485340
Hypericum Magical Victory Green,Hypericum,485341
Hypericum Mellow Romance Peach,Hypericum,485343
Hypericum Mellow Romance Peach,Hypericum,485344
Hypericum Mellow Romance Peach,Hypericum,485345
Hypericum Peach,Hypericum,485266
Hypericum Peach,Hypericum,485266
Hypericum Peach,Hypericum,485267
Hypericum Peach,Hypericum,485267
Hypericum Peach,Hypericum,485268
Hypericum Pink,Hypericum,485271
Hypericum Pink,Hypericum,485271
Hypericum Pink,Hypericum,485272
Hypericum Pink,Hypericum,485272
Hypericum Pink,Hypericum,485273
Hypericum Red,Hypericum,485276
Hypericum Red,Hypericum,485277
Hypericum Rocky Romance Burgundy,Hypericum,485351
Hypericum Rocky Romance Burgundy,Hypericum,485352
Hypericum Royal Princess Peach,Hypericum,1032782
Hypericum Royal Princess Peach,Hypericum,1032783
Hypericum Sweet Romance Pink,Hypericum,661677
Hypericum Sweet Romance Pink,Hypericum,661679
Hypericum Sweet Romance Pink,Hypericum,642523
Hypericum True Romance Red,Hypericum,485371
Hypericum True Romance Red,Hypericum,485372
Hypericum White,Hypericum,485281
Hypericum White,Hypericum,485282
Hypericum White,Hypericum,485283
Iris Assorted,Iris,491454
Iris Purple,Iris,7558744
Iris Telstar Dark Blue,Iris,491467
Iris White,Iris,7407079
Kale Green,Kale,490601
Kale Purple,Kale,490602
Kale White,Kale,490600
Kangaroo Paw Assorted,Kangaroo Paw,515958
Kangaroo Paw Assorted,Kangaroo Paw,515958
Kangaroo Paw Burgundy,Kangaroo Paw,515961
Kangaroo Paw Green,Kangaroo Paw,515963
Kangaroo Paw Orange,Kangaroo Paw,515964
Kangaroo Paw Red,Kangaroo Paw,515967
Kangaroo Paw Red/Orange,Kangaroo Paw,1219815
Kangaroo Paw Yellow,Kangaroo Paw,515968
Larkspur Assorted,Larkspur,513900
Larkspur Pink,Larkspur,513904
Larkspur Purple,Larkspur,513905
Larkspur White,Larkspur,491524
Leather Cleopatra Green,Leather,515987
Leather Cleopatra Green,Leather,515987
Leather Green,Leather,515986
Leather Green,Leather,515986
Leather Green,Leather,515986
Leather Sleeved Green,Leather,1622072
Lepidium Green Dragon Green,Lepidium,1166116
Lepidium Green Dragon Green,Lepidium,1166116
Leucadendron Gold Strike Yellow,Leucadendron,513914
Leucadendron Jester Red,Leucadendron,513916
Leucadendron Safari Sunset Red,Leucadendron,490592
Leucadendron Safari Sunset Red,Leucadendron,490592
Leucadendron Safari Sunset Red,Leucadendron,490592
Leucospermum (Pincushion) Assorted,Leucospermum (Pincushion),627847
Leucospermum (Pincushion) Orange,Leucospermum (Pincushion),627848
Leucospermum (Pincushion) Red,Leucospermum (Pincushion),627849
Leucospermum (Pincushion) Yellow,Leucospermum (Pincushion),627850
Lily Asiatic Assorted,Lily Asiatic,490703
Lily Asiatic Assorted,Lily Asiatic,490703
Lily Asiatic Assorted,Lily Asiatic,490703
Lily Asiatic Dark Pink,Lily Asiatic,490706
Lily Asiatic Light Pink,Lily Asiatic,490707
Lily Asiatic Light Pink,Lily Asiatic,490707
Lily Asiatic Orange,Lily Asiatic,490708
Lily Asiatic Orange,Lily Asiatic,490708
Lily Asiatic Orange,Lily Asiatic,490708
Lily Asiatic Peach,Lily Asiatic,490709
Lily Asiatic Pink,Lily Asiatic,490710
Lily Asiatic Pink,Lily Asiatic,490710
Lily Asiatic Red,Lily Asiatic,490711
Lily Asiatic White,Lily Asiatic,490712
Lily Asiatic White,Lily Asiatic,490712
Lily Asiatic White,Lily Asiatic,490712
Lily Asiatic Yellow,Lily Asiatic,490713
Lily Asiatic Yellow,Lily Asiatic,490713
Lily Asiatic Yellow,Lily Asiatic,490713
Lily Grass Green,Lily Grass,513937
Lily Grass Green,Lily Grass,513937
Lily Grass Green,Lily Grass,513937
Lily Grass Variegated,Lily Grass,513938
Lily Grass Variegated,Lily Grass,513938
Lily Grass Variegated,Lily Grass,513938
Lily Oriental Assorted 3/5b,Lily Oriental,490745
Lily Oriental Hot Pink 3/5b,Lily Oriental,3386341
Lily Oriental Light Pink 3/5b,Lily Oriental,3386331
Lily Oriental Siberia White 3/5b,Lily Oriental,490879
Lily Oriental Sorbonne Light Pink 3/5b,Lily Oriental,490887
Lily Oriental Star Fighter Pink/White 3/5b,Lily Oriental,490891
Lily Oriental Star Fighter Pink/White 3/5b,Lily Oriental,490891
Lily Oriental White 3/5b,Lily Oriental,490750
Lily Oriental White 3/5b,Lily Oriental,490750
Lily Oriental White 3/5b,Lily Oriental,490750
Lily Oriental Yellow 3/5b,Lily Oriental,490751
Lily Oriental Yellow 3/5b,Lily Oriental,490751
Lily Roselily Pink,Lily Roselily,490807
Lily Roselily Pink,Lily Roselily,490807
Lily Roselily White,Lily Roselily,1810941
Lily Roselily White,Lily Roselily,1810941
Limonium California Blue,Limonium,828525
Limonium Maine Blue Blue,Limonium,490070
Limonium Misty Blue Blue,Limonium,490072
Limonium Oshi Pink,Limonium,1746303
Limonium Pina Colada White,Limonium,1086944
Limonium Sinensis Assorted Select,Limonium,513133
Limonium Sinensis Lavender,Limonium,3456319
Limonium Sinensis Pink,Limonium,491197
Limonium Sinensis White,Limonium,491196
Limonium Sinensis Yellow Select,Limonium,509461
Limonium Skylight Light Blue,Limonium,640268
Lisianthus Assorted,Lisianthus,513965
Lisianthus Peach,Lisianthus,513973
Lisianthus Pink,Lisianthus,490606
Lisianthus Purple,Lisianthus,490605
Lisianthus White,Lisianthus,490607
Lysimachia White,Lysimachia,666519
Magnolia Tips Green,Magnolia,516096
Magnolia Tips Green,Magnolia,516096
Ming Fern Green,Ming Fern,512626
Ming Fern Green,Ming Fern,512626
Mini Carnation Assorted,Mini Carnation,485388
Mini Carnation Burgundy,Mini Carnation,485389
Mini Carnation Cream,Mini Carnation,485390
Mini Carnation Green,Mini Carnation,485392
Mini Carnation Hot Pink,Mini Carnation,485393
Mini Carnation Lavender,Mini Carnation,485394
Mini Carnation Light Pink,Mini Carnation,485395
Mini Carnation Orange,Mini Carnation,485396
Mini Carnation Peach,Mini Carnation,485397
Mini Carnation Peppermint,Mini Carnation,485398
Mini Carnation Pink,Mini Carnation,485399
Mini Carnation Purple,Mini Carnation,485400
Mini Carnation Red,Mini Carnation,485401
Mini Carnation White,Mini Carnation,485406
Mini Carnation Yellow,Mini Carnation,485407
Mint Flowering,Mint,828732
Moss Mood Green,Moss,516147
Moss Mood Green,Moss,516147
Moss Mood Green,Moss,516147
Moss Sheet Green,Moss,516154
Moss Spanish Gray,Moss,516155
Mum Astroid Yellow,Mum,1225558
Mum Blaze Bronze,Mum,867675
Mum Magnum White,Mum,885265
Mum Magnum Yellow Yellow,Mum,1457842
Myersii (Foxtail Fern) Green,Myersii (Foxtail Fern),516164
Myersii (Foxtail Fern) Green,Myersii (Foxtail Fern),516164
Nagi Foliage Green,Nagi,516169
Nagi Foliage Green,Nagi,516169
Ornithogalum Thyrsoides White Medium,Ornithogalum,485431
Palm Leaf Palmetto Green,Palm Leaf,516203
Palm Leaf Roebelinii Green,Palm Leaf,516208
Papyrus Lion's Head Green,Papyrus,516217
Phlox White,Phlox,490073
Phlox White,Phlox,490073
Phylica White,Phylica,885410
Phylica White,Phylica,885410
Pistachio Foliage Green,Pistachio Foliage,1195880
Pittosporum Brillantina Green,Pittosporum,1219050
Pittosporum Green,Pittosporum,627860
Pittosporum Green,Pittosporum,627860
Pittosporum Variegated,Pittosporum,627861
Pittosporum Variegated,Pittosporum,627861
"Plant Succulent Assorted 2.5""",Plant,2584753
"Plant Succulent Assorted 3.5""",Plant,516277
Plumosa Green,Plumosa,491529
Plumosa Green,Plumosa,491529
Pod Scabiosa Brown,Pod,517626
Pompon Bradford Orange,Pompon,485435
Pompon Button Assorted,Pompon Button,485436
Pompon Button Becky Light Fuchsia,Pompon Button,942304
Pompon Button Eagle White,Pompon Button,2013242
Pompon Button Green,Pompon Button,485440
Pompon Button Hotrod Burgundy,Pompon Button,1089906
Pompon Button Lexy Bronze,Pompon Button,1050108
Pompon Button Paintball Sunny Yellow,Pompon Button,2013245
Pompon Button Purple,Pompon Button,485444
Pompon Button Uva Purple,Pompon Button,886695
Pompon CDN Assorted,Pompon,485451
Pompon Cushion Artic Queen White,Pompon Cushion,886674
