competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,stem_price,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,8078642774325,Amatista Alstroemeria -,Alstroemeria,alstromeria,60,100,95.0,0.95,Red Nirvana Alstroemeria,100ca1ab-b396-4dd9-ba41-535b5219529c,0.9809610843658447,alstroemeria amatista,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-04
PetalJet,8078642774325,Amatista Alstroemeria -,Alstroemeria,alstromeria,60,180,151.2,0.84,Red Nirvana Alstroemeria,100ca1ab-b396-4dd9-ba41-535b5219529c,0.9809610843658447,alstroemeria amatista,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-04
PetalJet,8078642774325,Amatista Alstroemeria -,Alstroemeria,alstromeria,70,200,168.0,0.84,Red Nirvana Alstroemeria,100ca1ab-b396-4dd9-ba41-535b5219529c,0.9809610843658447,alstroemeria amatista,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0,2025-05-26,2025-06-04
PetalJet,4376142708835,Amnesia Rose,Premium Roses,Bicolor,40,72,95.04,1.32,,,,amnesia rose,,,,2025-05-26,2025-06-04
PetalJet,4376142708835,Amnesia Rose,Premium Roses,Bicolor,40,96,124.8,1.3,,,,amnesia rose,,,,2025-05-26,2025-06-04
PetalJet,4376142708835,Amnesia Rose,Premium Roses,Bicolor,40,192,241.92,1.26,,,,amnesia rose,,,,2025-05-26,2025-06-04
PetalJet,4376142708835,Amnesia Rose,Premium Roses,Bicolor,40,384,472.32,1.23,,,,amnesia rose,,,,2025-05-26,2025-06-04
PetalJet,4376142708835,Amnesia Rose,Premium Roses,Bicolor,50,72,100.8,1.4,,,,amnesia rose,,,,2025-05-26,2025-06-04
PetalJet,4376142708835,Amnesia Rose,Premium Roses,Bicolor,50,96,132.48,1.38,,,,amnesia rose,,,,2025-05-26,2025-06-04
PetalJet,4376142708835,Amnesia Rose,Premium Roses,Bicolor,50,192,257.28,1.34,,,,amnesia rose,,,,2025-05-26,2025-06-04
PetalJet,4376142708835,Amnesia Rose,Premium Roses,Bicolor,50,384,499.2,1.3,,,,amnesia rose,,,,2025-05-26,2025-06-04
PetalJet,8745540583733,Amos Red Carnation -,Carantions,Red,60,200,102.0,0.51,Red Carnation,24b9d4a7-3e41-48a8-b10a-37af8341388a,0.9545520544052124,amos carnation red,,,,2025-05-26,2025-06-04
PetalJet,8745540583733,Amos Red Carnation -,Carantions,Red,60,350,161.0,0.46,Red Carnation,24b9d4a7-3e41-48a8-b10a-37af8341388a,0.9545520544052124,amos carnation red,,,,2025-05-26,2025-06-04
PetalJet,8745540583733,Amos Red Carnation -,Carantions,Red,70,300,153.0,0.51,Red Carnation,24b9d4a7-3e41-48a8-b10a-37af8341388a,0.9545520544052124,amos carnation red,,,,2025-05-26,2025-06-04
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,40,60,78.6,1.31,,,,amsterdam rose,,,,2025-05-26,2025-06-04
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,40,84,106.68,1.27,,,,amsterdam rose,,,,2025-05-26,2025-06-04
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,40,168,208.32,1.24,,,,amsterdam rose,,,,2025-05-26,2025-06-04
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,40,336,406.56,1.21,,,,amsterdam rose,,,,2025-05-26,2025-06-04
PetalJet,1791258722365,Amsterdam Rose,Premium Roses,Coral,50,60,85.8,1.43,,,,amsterdam rose,,,,2025-05-26,2025-06-04
