competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,49827529687349,Amsterdam Rose,Premium Roses,Coral,40,168,208.32,1.24,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
PetalJet,49827537256757,Amsterdam Rose,Premium Roses,Coral,40,336,406.56,1.21,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
PetalJet,49827619340597,Amsterdam Rose,Premium Roses,Coral,50,60,85.8,1.43,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
PetalJet,49827623371061,Amsterdam Rose,Premium Roses,Coral,50,84,115.92,1.38,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
PetalJet,49827624550709,Amsterdam Rose,Premium Roses,Coral,50,168,225.12,1.34,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
PetalJet,49827625992501,Amsterdam Rose,Premium Roses,Coral,50,336,440.16,1.31,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
PetalJet,49827632578869,Amsterdam Rose,Premium Roses,Coral,60,84,129.36,1.54,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
PetalJet,49827633299765,Amsterdam Rose,Premium Roses,Coral,60,168,250.32,1.49,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
PetalJet,49827635200309,Amsterdam Rose,Premium Roses,Coral,60,252,367.92,1.46,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
PetalJet,49866618863925,Andrea Cremon Chrysanthemum -,Chrysanthemums,Berry,45,70,93.1,1.33,Santini White Chrysanthemum Micro Pom,9d7873c9-4b8e-4197-a655-e9f62f88d936,0.9634800553321838,Chrysanthemum Micro Pom,77e80550-8ed3-4d02-8e97-982365e4d611,0.9802786111831665,2025-05-07,2025-05-15
PetalJet,49866621845813,Andrea Cremon Chrysanthemum -,Chrysanthemums,Berry,45,100,130.0,1.3,Santini White Chrysanthemum Micro Pom,9d7873c9-4b8e-4197-a655-e9f62f88d936,0.9634800553321838,Chrysanthemum Micro Pom,77e80550-8ed3-4d02-8e97-982365e4d611,0.9802786111831665,2025-05-07,2025-05-15
PetalJet,49866622861621,Andrea Cremon Chrysanthemum -,Chrysanthemums,Berry,65,100,133.0,1.33,Santini White Chrysanthemum Micro Pom,9d7873c9-4b8e-4197-a655-e9f62f88d936,0.9634800553321838,Chrysanthemum Micro Pom,77e80550-8ed3-4d02-8e97-982365e4d611,0.9802786111831665,2025-05-07,2025-05-15
PetalJet,45416940896565,Andrea Garden Rose,Garden Roses,Grey,40,60,80.4,1.34,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,45416944304437,Andrea Garden Rose,Garden Roses,Grey,40,84,108.36,1.29,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,45416948597045,Andrea Garden Rose,Garden Roses,Grey,40,168,215.04,1.28,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,45416949449013,Andrea Garden Rose,Garden Roses,Grey,40,336,420.0,1.25,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,45416959934773,Andrea Garden Rose,Garden Roses,Grey,50,60,87.0,1.45,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,45416962031925,Andrea Garden Rose,Garden Roses,Grey,50,84,116.76,1.39,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,45416966029621,Andrea Garden Rose,Garden Roses,Grey,50,168,231.84,1.38,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,45416968913205,Andrea Garden Rose,Garden Roses,Grey,50,336,453.6,1.35,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,45416972615989,Andrea Garden Rose,Garden Roses,Grey,60,84,124.32,1.48,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,45416975106357,Andrea Garden Rose,Garden Roses,Grey,60,168,243.6,1.45,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,45416977432885,Andrea Garden Rose,Garden Roses,Grey,60,336,467.04,1.39,Arya Garden Roses,50be45a9-575d-4c1c-b92a-8a3ca564d84d,0.995923638343811,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9987648129463196,2025-05-07,2025-05-15
PetalJet,50746790215989,Anemone Assorted Box #604 -,Anemone,assorted,50,80,147.2,1.84,,,,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50746790248757,Anemone Assorted Box #604 -,Anemone,assorted,50,100,170.0,1.7,,,,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50746790281525,Anemone Assorted Box #604 -,Anemone,assorted,50,120,193.2,1.61,,,,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,50746790314293,Anemone Assorted Box #604 -,Anemone,assorted,50,200,308.0,1.54,,,,Anemone,0b6221f4-9306-4e15-9949-d403524c3a7d,1.0000001192092896,2025-05-07,2025-05-15
